ticker,sharpe,max_dd,score
NVDA,1.4515593411545522,-0.48526387255226633,1.208927404878419
APH,1.0363923521122664,-0.20565267165605905,0.933566016284237
AXON,0.9746010827935766,-0.4021007006306747,0.7735507324782392
JPM,0.9141387172905573,-0.2823154939059498,0.7729809703375824
CAT,0.9228644853215412,-0.3516116967744082,0.747058636934337
META,0.8545281570172164,-0.24805511657756374,0.7305005987284345
APO,0.8751447943999884,-0.29570540095221864,0.7272920939238791
AJG,0.8540609531026256,-0.25444391245355025,0.7268389968758505
WELL,0.8447003084357669,-0.2753644228572475,0.7070180970071431
NFLX,0.9093329838326033,-0.4409287301372127,0.688868618763997
STX,0.8729825579555218,-0.3735847682669756,0.686190173822034
WMT,0.7966147809106603,-0.24018414675471145,0.6765227075333046
AME,0.7646383414633755,-0.18717059834310568,0.6710530422918226
KKR,0.8772502743288607,-0.4172467325090491,0.6686269080743361
JCI,0.8717281303804645,-0.41037366829688704,0.666541296232021
JBL,0.8310444511513521,-0.3530619047411282,0.6545134987807879
AAPL,0.8236083781509926,-0.3391993022110362,0.6540087270454745
SPGI,0.7982808242782691,-0.29391499983909186,0.6513233243587231
FIX,0.8146626918881534,-0.3307687192940011,0.6492783322411528
GS,0.8001676422088981,-0.3070704276564362,0.64663242838068
PWR,0.7970484455170358,-0.31346009138042674,0.6403183998268225
PGR,0.782851458463528,-0.28709933856699477,0.6393017891800306
AVGO,0.834834038435846,-0.4033662842930835,0.6331508962893042
GRMN,0.7539811434363108,-0.2418022762525036,0.633080005310059
BLDR,0.8478648876298563,-0.4331659728917844,0.6312819011839641
RJF,0.7738443784556368,-0.29899525409621996,0.6243467514075268
TT,0.7786143916064636,-0.3308728339002728,0.6131779746563273
CMI,0.7456410079447062,-0.30290593048283765,0.5941880427032874
EME,0.7420604622613916,-0.30328089475696285,0.5904200148829102
RSG,0.7120251627822258,-0.25536765888335866,0.5843413333405465
BR,0.7305519374002923,-0.29916082975873903,0.5809715225209229
CMG,0.7241839821913386,-0.30799174449614386,0.5701881099432666
CTAS,0.768259813198689,-0.40939462266784266,0.5635625018647676
AIZ,0.6811085813771288,-0.24422570429335444,0.5589957292304516
MSI,0.7136481141377625,-0.3315602346005241,0.5478679968375004
GOOGL,0.6842430306731844,-0.29036300798713766,0.5390615266796155
BRK-B,0.6363123117531517,-0.20007756551985012,0.5362735289932267
CME,0.6570231342780963,-0.2800886233288973,0.5169788226136477
GNRC,0.7588977726382912,-0.4856923335126908,0.5160516058819458
CBOE,0.6693923949099991,-0.3179474496471827,0.5104186700864077
AMD,0.782919519808975,-0.5546920880156202,0.505573475801165
GE,0.7116733196746583,-0.41379712756247433,0.5047747558934211
TKO,0.7553188532868181,-0.5093689391852835,0.5006343836941765
NDAQ,0.6648729639462867,-0.33202521566010446,0.49886035611623447
LLY,0.7361980041791523,-0.4816304315790505,0.495382788389627
PCAR,0.6126032314893314,-0.23919064287860003,0.49300791005003136
AMP,0.6468576078794601,-0.3314387571083499,0.48113822932528516
LRCX,0.7693303715150673,-0.5873726850592287,0.475644028985453
AZO,0.601915783356233,-0.25681017531556927,0.47351069569844834
PNR,0.6349557239154261,-0.3420804906264202,0.463915478602216
XYL,0.6552388837339519,-0.38567545162179806,0.46240115792305286
SYF,0.6578250313622369,-0.3938716146000453,0.4608892240622143
BX,0.7276296098349317,-0.5387804808215602,0.45823936942415167
TSLA,0.7758971636125828,-0.6430042777237037,0.4543950247507309
ALGN,0.712801975186791,-0.5184264599455382,0.4535887452140219
BLK,0.6095299112590504,-0.313718017709404,0.45267090240434843
NEM,0.6235403096732243,-0.3445104270624938,0.45128509614197737
AMAT,0.6942339117772469,-0.4940809625121496,0.4471934305211721
MS,0.658833080129363,-0.4271398343539864,0.44526316295236984
BSX,0.5910114427773391,-0.2935172445353793,0.4442528205096494
MCO,0.6204264603149814,-0.37556860256552804,0.43264215903221737
URI,0.6639723270120351,-0.46866262335511777,0.42964101533447624
PNC,0.6116263373679831,-0.366255127795553,0.4284987734702066
EPAM,0.6367015114386978,-0.4210009358574356,0.42620104350998
MU,0.7194008045803798,-0.5924616803980434,0.4231699643813581
WM,0.534188368186601,-0.2339705994924477,0.41720306844037713
DE,0.6005569238300497,-0.3677264785220967,0.4166936845690013
IBKR,0.6469237357217484,-0.4605760590853095,0.4166357061790937
ISRG,0.6263825461794459,-0.425839366718912,0.4134628628199899
PTC,0.6257483552880667,-0.425606029730503,0.4129453404228152
NTAP,0.6608582750088305,-0.4965453919004652,0.41258557905859794
ARES,0.6552925387113595,-0.4891283008159323,0.41072838830339337
MSFT,0.607006756267107,-0.40833452607892096,0.4028394932276465
DECK,0.6111988697162372,-0.4218522074346841,0.4002727659988951
PAYC,0.6107257544082955,-0.42329036562160804,0.39908057159749144
MPC,0.5829950599362422,-0.36911894952926594,0.39843558517160926
DOV,0.5424450205443906,-0.29979581552560397,0.3925471127815886
IT,0.5477492133100063,-0.33625992216654266,0.3796192522267349
NDSN,0.5070417325814538,-0.2560290076529981,0.37902722875495476
GD,0.5440111574934697,-0.3315412980678418,0.3782405084595488
TMUS,0.5420837062366928,-0.3341753168709455,0.37499604780122003
