Date,NVDA,APH,AXON,JPM,CAT,META,APO,AJG,WELL,NFLX,STX,WMT,AME,KKR,JCI,JBL,AAPL,SPGI,FIX,GS,PWR,PGR,AVGO,GRMN,BLDR,RJF,TT,CMG,MSI,TKO,LLY,AZO,TSLA,ALGN,NEM,BSX,ISRG,DECK,MPC,TMUS,HCA,NVR,COST,ABBV,TTWO,VTR,POOL,PKG,IRM,TMO
2016-01-04,0.8072500228881836,12.767499923706055,17.0,63.95000076293945,66.87999725341797,101.94999694824219,14.979999542236328,40.400001525878906,67.7699966430664,10.899999618530273,36.029998779296875,20.166667938232422,52.86000061035156,15.300000190734863,32.92146682739258,22.8799991607666,25.65250015258789,96.55999755859375,27.979999542236328,175.7899932861328,19.969999313354492,31.399999618530273,14.206999778747559,36.599998474121094,10.829999923706055,37.706668853759766,42.2032585144043,9.37399959564209,67.66999816894531,17.440000534057617,83.4000015258789,733.0,15.381333351135254,64.98999786376953,18.440000534057617,18.15999984741211,60.795555114746094,7.675000190734863,51.68000030517578,38.86000061035156,65.69000244140625,1629.8900146484375,159.80999755859375,58.060001373291016,34.04999923706055,56.0,79.44000244140625,62.0099983215332,26.799999237060547,139.4499969482422
2016-01-05,0.8245000243186951,12.72249984741211,16.979999542236328,63.70000076293945,68.37999725341797,102.88999938964844,15.470000267028809,40.20000076293945,68.5,11.045000076293945,36.5,20.676666259765625,52.650001525878906,15.800000190734863,33.25654602050781,23.06999969482422,26.4375,94.5199966430664,27.3799991607666,176.7100067138672,20.25,31.1200008392334,14.314000129699707,37.0,11.15999984741211,37.560001373291016,42.90923309326172,9.0,66.5,17.690000534057617,82.9000015258789,735.47998046875,15.090666770935059,64.63999938964844,18.56999969482422,18.0,61.00555419921875,7.858333110809326,51.400001525878906,38.900001525878906,66.55999755859375,1575.0,160.1699981689453,57.9900016784668,34.36000061035156,56.79999923706055,79.48999786376953,62.349998474121094,26.90999984741211,139.0
2016-01-06,0.8087499737739563,12.382499694824219,17.920000076293945,62.720001220703125,65.9800033569336,101.12999725341797,14.90999984741211,39.880001068115234,69.5,10.529000282287598,35.650001525878906,20.82666778564453,51.58000183105469,15.119999885559082,32.073299407958984,22.309999465942383,25.139999389648438,93.95999908447266,27.3799991607666,171.30999755859375,19.1200008392334,31.030000686645508,13.456999778747559,36.41999816894531,11.010000228881836,36.926666259765625,41.706748962402344,8.75879955291748,65.56999969482422,16.959999084472656,82.69000244140625,733.3200073242188,14.666666984558105,64.11000061035156,18.709999084472656,17.940000534057617,60.81111145019531,7.763332843780518,49.29999923706055,39.560001373291016,65.48999786376953,1589.75,158.36000061035156,56.369998931884766,34.220001220703125,57.66999816894531,78.54000091552734,61.310001373291016,27.079999923706055,136.5500030517578
2016-01-07,0.7684999704360962,12.039999961853027,17.200000762939453,61.459999084472656,65.08000183105469,100.5,14.619999885559082,38.81999969482422,69.23999786376953,11.63599967956543,34.04999923706055,20.989999771118164,50.38999938964844,14.789999961853027,31.905759811401367,20.860000610351562,24.670000076293945,92.61000061035156,27.030000686645508,166.6699981689453,19.020000457763672,30.610000610351562,13.130999565124512,35.400001525878906,10.029999732971191,35.35333251953125,40.581844329833984,8.301600456237793,64.62999725341797,16.5,81.62999725341797,720.2899780273438,14.279333114624023,63.529998779296875,18.799999237060547,17.639999389648438,60.606666564941406,7.571667194366455,47.84000015258789,39.380001068115234,65.13999938964844,1565.010009765625,154.85000610351562,56.52000045776367,33.33000183105469,56.630001068115234,77.29000091552734,59.7599983215332,26.729999542236328,135.0
2016-01-08,0.7667499780654907,11.882499694824219,16.799999237060547,61.130001068115234,64.33000183105469,99.87999725341797,14.569999694824219,38.810001373291016,68.16000366210938,11.633000373840332,34.380001068115234,21.69333267211914,50.290000915527344,14.680000305175781,31.958114624023438,20.450000762939453,24.637500762939453,91.51000213623047,27.8700008392334,166.75,19.040000915527344,30.670000076293945,13.003000259399414,35.13999938964844,9.710000038146973,35.09333419799805,40.403411865234375,8.39680004119873,64.33000183105469,16.440000534057617,81.66999816894531,735.9600219726562,14.52400016784668,64.37999725341797,18.510000228881836,17.700000762939453,59.962223052978516,7.803332805633545,48.34000015258789,40.86000061035156,64.4800033569336,1558.0,155.27999877929688,57.54999923706055,32.560001373291016,56.380001068115234,77.63999938964844,60.310001373291016,26.3799991607666,135.60000610351562
2016-01-11,0.7415000200271606,11.757499694824219,16.5,58.83000183105469,63.66999816894531,97.91000366210938,14.020000457763672,38.349998474121094,68.41000366210938,11.213000297546387,33.119998931884766,21.253332138061523,49.150001525878906,14.199999809265137,31.75916290283203,19.920000076293945,24.74250030517578,89.12000274658203,28.510000228881836,165.0,18.799999237060547,30.290000915527344,12.949999809265137,33.88999938964844,9.489999771118164,34.11333465576172,40.03103256225586,8.333000183105469,64.66000366210938,16.3700008392334,81.30000305175781,712.5599975585938,14.267333030700684,64.77999877929688,18.1200008392334,17.479999542236328,60.06222152709961,7.425000190734863,46.439998626708984,39.959999084472656,68.69999694824219,1541.0,152.3000030517578,55.86000061035156,32.59000015258789,56.47999954223633,76.08999633789062,58.54999923706055,25.709999084472656,134.33999633789062
2016-01-12,0.7552499771118164,11.71500015258789,16.020000457763672,59.45000076293945,62.439998626708984,99.0,14.140000343322754,37.869998931884766,68.83000183105469,11.611000061035156,31.719999313354492,21.459999084472656,48.720001220703125,13.800000190734863,32.25130844116211,20.110000610351562,25.137500762939453,88.93000030517578,29.040000915527344,166.88999938964844,18.719999313354492,30.850000381469727,12.986000061035156,33.650001525878906,9.289999961853027,34.16666793823242,40.37238311767578,8.3100004196167,64.93000030517578,16.68000030517578,80.61000061035156,722.510009765625,14.106666564941406,61.0,17.1200008392334,17.239999771118164,60.51777648925781,7.453332901000977,46.209999084472656,39.83000183105469,68.51000213623047,1555.0,155.7100067138672,54.470001220703125,32.86000061035156,56.790000915527344,76.26000213623047,60.22999954223633,26.06999969482422,136.2899932861328
2016-01-13,0.7602499723434448,11.875,16.09000015258789,59.459999084472656,62.06999969482422,100.58000183105469,14.180000305175781,38.15999984741211,68.06999969482422,11.442999839782715,31.59000015258789,21.24333381652832,48.77000045776367,13.640000343322754,32.68062973022461,20.0,25.079999923706055,88.87999725341797,29.280000686645508,166.4600067138672,18.670000076293945,30.8799991607666,12.774999618530273,33.279998779296875,9.039999961853027,33.939998626708984,40.89216232299805,8.156000137329102,65.06999969482422,16.780000686645508,80.73999786376953,732.8300170898438,14.133999824523926,61.88999938964844,17.06999969482422,17.889999389648438,62.49333190917969,7.289999961853027,46.709999084472656,40.15999984741211,66.5999984741211,1585.0,155.97000122070312,54.54999923706055,33.83000183105469,56.06999969482422,77.47000122070312,59.619998931884766,25.40999984741211,137.4199981689453
2016-01-14,0.7164999842643738,11.717499732971191,15.4399995803833,58.15999984741211,61.2400016784668,95.8499984741211,13.970000267028809,37.08000183105469,66.37999725341797,10.5649995803833,31.190000534057617,20.666667938232422,47.47999954223633,13.380000114440918,31.2879581451416,19.729999542236328,24.489999771118164,84.87000274658203,28.450000762939453,160.3000030517578,18.170000076293945,30.209999084472656,12.418999671936035,32.65999984741211,8.550000190734863,32.560001373291016,39.9844856262207,8.9399995803833,63.65999984741211,16.84000015258789,79.27999877929688,702.8200073242188,13.480667114257812,59.310001373291016,17.170000076293945,17.6299991607666,61.032222747802734,7.066667079925537,42.560001373291016,38.7400016784668,65.05999755859375,1528.5999755859375,151.9600067138672,51.31999969482422,32.61000061035156,54.369998931884766,75.45999908447266,57.97999954223633,25.09000015258789,133.63999938964844
2016-01-15,0.6880000233650208,11.387499809265137,14.699999809265137,56.45000076293945,59.52000045776367,93.9800033569336,13.029999732971191,36.959999084472656,65.52999877929688,10.243000030517578,30.479999542236328,20.516666412353516,46.939998626708984,13.25,30.900524139404297,19.329999923706055,24.049999237060547,83.0999984741211,27.829999923706055,156.6999969482422,17.5,29.479999542236328,12.020999908447266,32.08000183105469,8.329999923706055,31.793333053588867,39.270751953125,8.822999954223633,61.79999923706055,16.149999618530273,80.69000244140625,696.3200073242188,13.264666557312012,58.70000076293945,17.649999618530273,17.700000762939453,60.026668548583984,6.9116668701171875,41.86000061035156,37.9900016784668,63.70000076293945,1498.43994140625,149.2899932861328,53.0099983215332,31.610000610351562,53.83000183105469,73.70999908447266,56.47999954223633,24.700000762939453,134.58999633789062
