ticker
NVDA
APH
AXON
JPM
CAT
META
APO
AJG
WELL
NFLX
STX
WMT
AME
KKR
JCI
JBL
AAPL
SPGI
FIX
GS
PWR
PGR
AVGO
GRMN
BLDR
RJF
TT
CMG
MSI
TKO
LLY
AZO
TSLA
ALGN
NEM
BSX
ISRG
DECK
MPC
TMUS
HCA
NVR
COST
ABBV
TTWO
VTR
POOL
PKG
IRM
TMO
